market_unique_key,market_id_short,chain,chain_id,collateral_symbol,loan_symbol,collateral_address,loan_address,collateral_decimals,loan_decimals,lltv_raw,lltv_pct,listed,creation_block,creation_timestamp,L1_supply_assets,L1_supply_usd,L1_borrow_assets,L1_borrow_usd,L1_gap_usd,L1_collateral_assets,L1_collateral_usd,L2_bad_debt_underlying,L2_bad_debt_usd,L2_realized_bad_debt_underlying,L2_realized_bad_debt_usd,L2_total_bad_debt_usd,warning_types,warning_levels,warning_bad_debt_share,warning_bad_debt_usd,warning_bad_debt_assets,warning_total_supply_assets,L3_oracle_price_raw,L3_oracle_price_normalized,L3_oracle_scale_factor,collateral_spot_price,loan_spot_price,L3_oracle_spot_gap_pct,L3_oracle_spot_gap_usd,lltv_pct_display,oracle_ltv_pct,true_ltv_pct,supply_usd,borrow_usd,utilization,liquidity_assets,liquidity_usd,oracle_address,oracle_type,oracle_is_hardcoded,oracle_architecture,oracle_base_feed_one,oracle_base_feed_one_desc,oracle_base_feed_one_vendor,oracle_base_feed_two,oracle_base_feed_two_desc,oracle_quote_feed_one,oracle_quote_feed_one_desc,oracle_quote_feed_two,oracle_quote_feed_two_desc,oracle_base_vault,oracle_base_vault_vendor,oracle_quote_vault,oracle_quote_vault_vendor,oracle_base_vault_conversion,oracle_quote_vault_conversion,oracle_scale_factor,feed_base_one_desc,feed_base_two_desc,feed_quote_one_desc,feed_quote_two_desc,feed_base_vault_desc,feed_quote_vault_desc
0xeb0403429dabb5829047fb5c05dcaa816a41d164424341db7d10cc5dd86a967d,0xeb04...967d,ethereum,1,deUSD,sUSDS,0x15700B564Ca08D9439C58cA5053166E8317aa138,0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,18,18,915000000000000000,91.5,False,22447068,1746807935,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,no_whitelisted_allocation|not_whitelisted,RED|YELLOW,,,,,,0.0,10000000000000000000000000000000000000000000000,0.0,1.085879,0,0,91.5,0,0.0,0.0,0.0,0.0,0,0.0,0x7dD3FC7645555f78cC029f64a4C3965C58Aaf4C4,ChainlinkOracleV2,False,feed+vault,0xcA727511c9d542AAb9eF406d24E5bbbE4567c22d,deUSD/USD (0.2%),Redstone,,,,,,,,,0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,,1,1000000000000000000,10000000000000000000000000000000000000000000000,,,,,,
0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0xe31a...5c2d,ethereum,1,sdeUSD,USDC,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18,6,915000000000000000,91.5,False,21777420,1738723799,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,no_whitelisted_allocation|not_whitelisted,RED|YELLOW,,,,,,0.0,10,0.0,0.999898,0,0,91.5,0,0.0,0.0,0.0,0.0,0,0.0,0xD634DbbcF06d99eDc0e2D6349Ef1Ea5873d17C02,ChainlinkOracleV2,False,feed+vault,0xcA727511c9d542AAb9eF406d24E5bbbE4567c22d,deUSD/USD (0.2%),Redstone,,,,,,,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,,,,1000000000000000,1,10,,,,,,
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,0x4799...a9a9,Plume,98866,sdeUSD,USDC.e,0x3f6c8f2Efb8cc78C3baB5353E2Ad5f19De56D856,0x78adD880A697070c1e765Ac44D65323a0DcCE913,18,6,915000000000000000,91.5,False,29716273,1758555935,1000,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,unrecognized_collateral_asset|unrecognized_loan_asset|not_whitelisted,RED|RED|YELLOW,,,,,,0.0,100000000000000,0.0,0.999937,0,0,91.5,0,0.0,0.0,0.0,0.0,1000,0.0,0x3D49B5F702218d0dedd12f200aeF7FF3926d0434,ChainlinkOracleV2,False,feed+vault,,,,,,0xC16185876193Fa8f017863d54c7e36d16cd0d841,USDC/USD,,,0x3f6c8f2Efb8cc78C3baB5353E2Ad5f19De56D856,,,,1000000000000000000,1,100000000000000,,,,,,
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,0x82e7...890d,Plume,98866,xUSD,USDC,0x6eAf19b2FC24552925dB245F9Ff613157a7dbb4C,0x222365EF19F7947e5484218551B56bb3965Aa7aF,6,6,860000000000000000,86.0,False,30305691,1758830224,306570022834889,0.0,306570022833026,0.0,0.0,65845263180000,0.0,175966909999048,0.0,0,0.0,0.0,unrecognized_collateral_asset|unrecognized_loan_asset|not_whitelisted,RED|RED|YELLOW,,,,,,0.0,1000000000000000000000000000000000000,0.0,0.0,0,0,86.0,0,0.0,0.0,0.0,1.0,1863,0.0,0x6089f561cc50572c1B9412F3d437BF58169391e8,ChainlinkOracleV2,False,feed-based,0x2965E760236CbAC6b04C43D4fea0aF0f231fB914,xUSD/USD,,,,0xC16185876193Fa8f017863d54c7e36d16cd0d841,USDC/USD,,,,,,,1,1,1000000000000000000000000000000000000,,,,,,
0x8d009383866dffaac5fe25af684e93f8dd5a98fed1991c298624ecc3a860f39f,0x8d00...f39f,Plume,98866,sdeUSD,pUSD,0x3f6c8f2Efb8cc78C3baB5353E2Ad5f19De56D856,0xdddD73F5Df1F0DC31373357beAC77545dC5A6f3F,18,6,915000000000000000,91.5,False,14454794,1753376916,441127504,0.0,441079198,0.0,0.0,139838871872815912239,0.0,244640961,244.55,8948828965,8947.1,9191.65,bad_debt_unrealized|unrecognized_collateral_asset|unrecognized_loan_asset|not_whitelisted,RED|RED|RED|YELLOW,0.6548607976029704,244.55079749050327,244640961,373577044,,0.0,100000000000000,0.0,0.999937,0,0,91.5,0,0.0,0.0,0.0,0.99989,48306,0.05,0xbb1B44e3371F4b13fC6D9AabF6Be91DA079718Cb,ChainlinkOracleV2,False,feed+vault,,,,,,0x59a7895030F0965F9141D66D63564C5bB589d592,pUSD/USD,,,0x3f6c8f2Efb8cc78C3baB5353E2Ad5f19De56D856,,,,1000000000000000000,1,100000000000000,,,,,,
0xf62889596262da8f0745617b3c45f2b300f44774c17877cbb6f025ee99ca782c,0xf628...782c,Plume,98866,deUSD,USDC,0x1271656F45e251f588847721BA2C561dd1F0223F,0x222365EF19F7947e5484218551B56bb3965Aa7aF,18,6,915000000000000000,91.5,False,33347536,1760442150,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,unrecognized_collateral_asset|unrecognized_loan_asset|not_whitelisted,RED|RED|YELLOW,,,,,,0.0,1000000000000000000000000,0.0,0.0,0,0,91.5,0,0.0,0.0,0.0,0.0,0,0.0,0xaD39D92a328607818ac57bC78bAdfE4eFCd63e79,ChainlinkOracleV2,True,fixed-price,,,,,,,,,,,,,,1,1,1000000000000000000000000,,,,,,
0x7c03103c24ccfa9188bf41a8d44423cf5492645805eb1d23d9f862717d3fe5ab,0x7c03...e5ab,Arbitrum,42161,xUSD,USDC,0x6eAf19b2FC24552925dB245F9Ff613157a7dbb4C,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,6,6,915000000000000000,91.5,False,382609225,1758739856,3605551,3.61,3603641,3.6,0.0,801180,0.0,2589942,2.59,0,0.0,2.59,no_whitelisted_allocation|not_whitelisted,RED|YELLOW,,,,,1266843364782787069115824621022504717,1.26684336,1000000000000000000000000000000000000,0.0,0.999911,0,0,91.5,0,0.0,3.61,3.6,0.99947,1910,0.0,0x14A7F156062D35861a285c7A7F5662964c2fe155,ChainlinkOracleV2,False,feed-based,0xDC0E6a4372b899b47afCB7e15f4829a94AbceDE9,xUSD/USD,,,,0x50834F3163758fcC1Df9973b6e91f0F0F0434aD3,USDC / USD,,,,,,,1,1,1000000000000000000000000000000000000,,,,,,
0x9e90aec7d768403dacc9dd0d8320307fda3f980eed4df43e3e52168a1c667709,0x9e90...7709,Arbitrum,42161,xUSD,USDC,0x6eAf19b2FC24552925dB245F9Ff613157a7dbb4C,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,6,6,915000000000000000,91.5,False,379403243,1757938918,4757694074723,4757272.22,4757694074723,4757272.22,0.0,644314812208,0.0,3942900677340,3942551.07,0,0.0,3942551.07,bad_debt_unrealized|custom|no_whitelisted_allocation|not_whitelisted,RED|RED|RED|YELLOW,0.8288892592885504,3942551.0697203027,3942900677340,4756848557459,1266723040000000000000000000000000000,126672304.00000001,10000000000000000000000000000,0.0,0.999911,0,0,91.5,0,0.0,4757272.22,4757272.22,1.0,0,0.0,0x1837efFC34Bb5a96EFdA00d53560799bE3a4226E,ChainlinkOracleV2,False,feed-based,0xDC0E6a4372b899b47afCB7e15f4829a94AbceDE9,xUSD/USD,,,,,,,,,,,,1,1,10000000000000000000000000000,,,,,,
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,0x0f95...b129,ethereum,1,sdeUSD,USDC,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18,6,915000000000000000,91.5,False,21777653,1738726607,53017498966545,53012104.9,53017498966545,53012104.9,0.0,8944788405981167225560721,0.0,0,0.0,0,0.0,0.0,custom|no_whitelisted_allocation|not_whitelisted,RED|RED|YELLOW,,,,,,0.0,100000,0.0,0.999898,0,0,91.5,0,0.0,53012104.9,53012104.9,1.0,0,0.0,0x65F9f6d537C2D628D1c2663896436817440eDB72,ChainlinkOracleV2,False,feed+vault,0xcA727511c9d542AAb9eF406d24E5bbbE4567c22d,deUSD/USD (0.2%),Redstone,,,,,,,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,,,,100000000000,1,100000,,,,,,
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,0x1c6f...b93d,ethereum,1,deUSD,USDC,0x15700B564Ca08D9439C58cA5053166E8317aa138,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18,6,915000000000000000,91.5,False,21777311,1738722479,1044103,1.04,943833,0.94,0.1,10000000000000000000,0.0,0,0.0,0,0.0,0.0,no_whitelisted_allocation|not_whitelisted,RED|YELLOW,,,,,,0.0,10000000000000000,0.0,0.999898,0,0,91.5,0,0.0,1.04,0.94,0.903965,100270,0.1,0x2D949A3621cf5D3B0E6A9EC764aEAFa35F55AA10,ChainlinkOracleV2,False,feed-based,0xcA727511c9d542AAb9eF406d24E5bbbE4567c22d,deUSD/USD (0.2%),Redstone,,,,,,,,,,,1,1,10000000000000000,,,,,,
0x226a59cd57c8c75ddaf440e2be68b92dbf8dafaed6a715290d0789d1fdc521c2,0x226a...21c2,ethereum,1,deUSD,USDC,0x15700B564Ca08D9439C58cA5053166E8317aa138,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18,6,860000000000000000,86.0,False,20692164,1725633083,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,no_whitelisted_allocation|not_whitelisted,RED|YELLOW,,,,,1000000000000000000000000,1e+24,,0.0,0.999898,0,0,86.0,0,0.0,0.0,0.0,0.0,0,0.0,0x0A19215Ffd2B1B3FC47C49EBD7Fa6BaEF8EA75a0,Unknown,True,fixed-price,,,,,,,,,,,,,,,,,,,,,,
0x46b46943e982bf04f7b07ff37c95b539e35ccd8cf93c331cd9659398aa8f7bee,0x46b4...7bee,ethereum,1,sdeUSD,USDC,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18,6,915000000000000000,91.5,False,21794307,1738927427,2000,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,no_whitelisted_allocation|not_whitelisted,RED|YELLOW,,,,,,0.0,10000000000,0.0,0.999898,0,0,91.5,0,0.0,0.0,0.0,0.0,2000,0.0,0x3024b653940976443fFDEF276bdee5452540eF80,ChainlinkOracleV2,False,feed+vault,0xcA727511c9d542AAb9eF406d24E5bbbE4567c22d,deUSD/USD (0.2%),Redstone,,,,,,,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,,,,1000000,1,10000000000,,,,,,
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,0x7182...4b84,ethereum,1,deUSD,USDC,0x15700B564Ca08D9439C58cA5053166E8317aa138,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18,6,860000000000000000,86.0,False,20698787,1725712871,10075715,10.07,7774707,7.77,2.3,10000000000000000000,0.0,0,0.0,0,0.0,0.0,no_whitelisted_allocation|not_whitelisted,RED|YELLOW,,,,,,0.0,1000000000000000000000000,0.0,0.999898,0,0,86.0,0,0.0,10.07,7.77,0.771628,2301008,2.3,0x2aebFD1191F5a283298608002d30459a1cD7A24C,ChainlinkOracleV2,False,feed-based,0x89F48f6671Ec1B1C4f6abE964EBdd21F4eb7076f,deUSD/USD (0.1%),Redstone,,,0x8fFfFfd4AfB6115b954Bd326cbe7B4BA576818f6,USDC / USD (0.25%),,,,,,,1,1,1000000000000000000000000,,,,,,
0x7527be7772eb6e2e6bd9a5a9cc83dcd67fd1c9e6103d09868d0308eb3b70af2c,0x7527...af2c,ethereum,1,deUSD,sUSDS,0x15700B564Ca08D9439C58cA5053166E8317aa138,0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,18,18,915000000000000000,91.5,False,22941193,1752782615,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,no_whitelisted_allocation|not_whitelisted,RED|YELLOW,,,,,,0.0,10000000000000000000000000000000000000000000000,0.0,1.085879,0,0,91.5,0,0.0,0.0,0.0,0.0,0,0.0,0x27C549756d0a1c0d012525b1C39E5d9b1Cf30013,ChainlinkOracleV2,False,feed+vault,0xcA727511c9d542AAb9eF406d24E5bbbE4567c22d,deUSD/USD (0.2%),Redstone,,,,,,,,,0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,,1,1000000000000000000,10000000000000000000000000000000000000000000000,,,,,,
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,0xbd1a...0c1f,ethereum,1,deUSD,USDC,0x15700B564Ca08D9439C58cA5053166E8317aa138,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18,6,860000000000000000,86.0,False,20692373,1725635615,8360846494,8360.0,8360846494,8360.0,0.0,8789483350942411863133,0.0,4044292050,4043.88,0,0.0,4043.88,bad_debt_unrealized|no_whitelisted_allocation|not_whitelisted,RED|RED|YELLOW,0.48380341860981346,4043.880579212059,4044292050,8359370551,1000000000000000000000000,1.0,1000000000000000000000000,0.0,0.999898,0,0,86.0,0,0.0,8360.0,8360.0,1.0,0,0.0,0x1325Eb089Ac14B437E78D5D481e32611F6907eF8,ChainlinkOracleV2,True,fixed-price,,,,,,,,,,,,,,1,1,1000000000000000000000000,,,,,,
0x37cd54128e3f569e97c8dcd2bdf60ea7737a188bd9b950adb35089de38813855,0x37cd...3855,Plume,98866,xUSD,USDC,0x6eAf19b2FC24552925dB245F9Ff613157a7dbb4C,0x222365EF19F7947e5484218551B56bb3965Aa7aF,6,6,915000000000000000,91.5,False,30305160,1758829918,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,unrecognized_collateral_asset|unrecognized_loan_asset|not_whitelisted,RED|RED|YELLOW,,,,,,0.0,1000000000000000000000000000000000000,0.0,0.0,0,0,91.5,0,0.0,0.0,0.0,0.0,0,0.0,0x6089f561cc50572c1B9412F3d437BF58169391e8,ChainlinkOracleV2,False,feed-based,0x2965E760236CbAC6b04C43D4fea0aF0f231fB914,xUSD/USD,,,,0xC16185876193Fa8f017863d54c7e36d16cd0d841,USDC/USD,,,,,,,1,1,1000000000000000000000000000000000000,,,,,,
