vault_address,vault_name,chain,chain_id,curator_name,exposure_status,discovery_method,vault_tvl_usd,peak_toxic_supply_usd,peak_toxic_date,first_zero_alloc_ts,first_zero_alloc_date,alloc_at_depeg_usd,alloc_week_before_usd,first_cap_zero_ts,first_cap_zero_date,queue_removed_toxic_ts,queue_removed_toxic_date,total_admin_events,toxic_realloc_withdraw_count,toxic_realloc_supply_count,first_realloc_withdraw_ts,first_realloc_withdraw_date,last_realloc_withdraw_ts,last_realloc_withdraw_date,earliest_action_ts,earliest_action_date,response_class,days_vs_depeg
0xc582f04d8a82795aa2ff9c8bb4c1c889fe7b754e,Gauntlet USDC Frontier,ethereum,1,Gauntlet,HISTORICALLY_EXPOSED,historical_reallocation,189589844.74900392,0.0,2025-10-27,1761523200.0,2025-10-27,,,,,,,105,0,0,,,,,1761523200.0,2025-10-27,PROACTIVE,8.0
0xbeefff209270748ddd194831b3fa287a5386f5bc,Smokehouse USDC,ethereum,1,Steakhouse Financial,HISTORICALLY_EXPOSED,historical_reallocation,72901018.95732288,0.0,,,,,,,,,,1123,0,0,,,,,,,EXITED_TIMING_UNKNOWN,
0x8eb67a509616cd6a7c1b3c8c21d48ff57df3d458,Gauntlet USDC Core,ethereum,1,Gauntlet,HISTORICALLY_EXPOSED,historical_reallocation,30796858.53847616,104342.27718508456,2025-10-01,1759363200.0,2025-10-02,,0.0,,,,,142,0,0,,,,,1759363200.0,2025-10-02,PROACTIVE,33.0
0x777791c4d6dc2ce140d00d2828a7c93503c67777,Hyperithm USDC Degen,ethereum,1,Hyperithm,HISTORICALLY_EXPOSED,historical_reallocation,24311272.445356462,18524325.62945286,2025-10-30,1762041600.0,2025-11-02,,9995127.328414291,,,,,122,193,343,1759295459.0,2025-10-01,1761984479.0,2025-11-01,1759295459.0,2025-10-01,PROACTIVE,33.8
0xd63070114470f685b75b74d60eec7c1113d33a3d,MEV Capital USDC,ethereum,1,MEV Capital,HISTORICALLY_EXPOSED,historical_reallocation,19151316.483866543,6833628.632739954,2025-10-29,,,2592674.065068072,6833628.632739954,,,,,173,248,285,1759280135.0,2025-10-01,1762178339.0,2025-11-03,1759280135.0,2025-10-01,PROACTIVE,34.0
0x974c8fbf4fd795f66b85b73ebc988a51f1a040a9,Hakutora USDC,ethereum,1,Hakutora,HISTORICALLY_EXPOSED,historical_reallocation,17791532.995006528,9.99960523817385e-07,2025-11-08,1762560000.0,2025-11-08,0.0,0.0,,,,,47,1,0,1763128235.0,2025-11-14,1763128235.0,2025-11-14,1762560000.0,2025-11-08,SLOW_REACTOR,-4.0
0x4b6f1c9e5d470b97181786b26da0d0945a7cf027,Hyperithm USDC,Arbitrum,42161,Hyperithm,HISTORICALLY_EXPOSED,historical_reallocation,17527684.52759502,10000866.113668969,2025-10-19,1761696000.0,2025-10-29,,0.0,,,,,37,222,195,1759310828.0,2025-10-01,1761664600.0,2025-10-28,1759310828.0,2025-10-01,PROACTIVE,33.6
0x55555815a5595991c3a0ff119b59aef6c8b55555,Adpend USDC,ethereum,1,0xf630D85a72628d73d7c7ffDf8fb4974c2b68a997,STOPPED_SUPPLYING,current_allocation,2751905.2347116857,1500919.5925276948,2025-11-01,,,449538.4251323392,326153.34243486694,,,,,32,97,89,1759277723.0,2025-10-01,1762162463.0,2025-11-03,1759277723.0,2025-10-01,PROACTIVE,34.0
0x64ca76e2525fc6ab2179300c15e343d73e42f958,Clearstar High Yield USDC,Arbitrum,42161,Clearstar,HISTORICALLY_EXPOSED,historical_reallocation,1865258.5418277108,199993.523793572,2025-10-27,1761609600.0,2025-10-28,0.0,0.0,,,,,19,1,1,1762275930.0,2025-11-04,1762275930.0,2025-11-04,1761609600.0,2025-10-28,EARLY_REACTOR,7.0
0x94643e86aa5e38ddac6c7791c1297f4e40cd96c1,1337 USDC,ethereum,1,0x0000000000000000000000000000000000000000,ACTIVE_DEPEG,current_allocation,1467069.161289008,382880.5489932305,2025-11-01,,,239742.9156706245,,,,,,28,3,2,1761973751.0,2025-11-01,1762218323.0,2025-11-04,1761973751.0,2025-11-01,EARLY_REACTOR,2.8
0xa60643c90a542a95026c0f1dbdb0615ff42019cf,MEV Capital USDC,Arbitrum,42161,MEV Capital,HISTORICALLY_EXPOSED,historical_reallocation,652032.6857625978,14998711.925082918,2025-10-24,,,627945.8136062758,13699317.655919872,,,,,43,89,44,1759459012.0,2025-10-03,1762115062.0,2025-11-02,1759459012.0,2025-10-03,PROACTIVE,31.9
0x5b56f90340dbaa6a8693dadb141d620f0e154fe6,Avantgarde USDC Core,ethereum,1,Avantgarde,HISTORICALLY_EXPOSED,historical_reallocation,343171.6251638849,342101.4113028537,2025-11-14,,,332917.1225011195,331871.7186579853,,,,,37,0,1,,,,,,,EXITED_TIMING_UNKNOWN,
0x3014ed70b39be395e1a5eb8ab4c4b8a5378e6522,Not Gauntlet,Arbitrum,42161,0x0000000000000000000000000000000000000000,ACTIVE_DEPEG,current_allocation,246322.88234641115,50979.424014672746,2025-11-30,,,36636.29479693476,38825.883621810885,,,,,12,3,5,1761548135.0,2025-10-27,1761812163.0,2025-10-30,1761548135.0,2025-10-27,PROACTIVE,7.7
0xa53cf822fe93002aeae16d395cd823ece161a6ac,Clearstar USDC Reactor,Arbitrum,42161,Clearstar,HISTORICALLY_EXPOSED,historical_reallocation,201115.9714750718,577.7080333282513,2025-10-14,1760572800.0,2025-10-16,0.0003049065514458,0.1104749779860521,,,,,24,3,5,1760192448.0,2025-10-11,1761990326.0,2025-11-01,1760192448.0,2025-10-11,PROACTIVE,23.4
0x0f359fd18bda75e9c49bc027e7da59a4b01bf32a,Relend USDC,ethereum,1,B.Protocol,HISTORICALLY_EXPOSED,historical_reallocation,63684.47465891912,4525732.745914942,2025-11-13,,,4424443.398682387,2411072.332086209,,,,,63,5,10,1759324415.0,2025-10-01,1761594503.0,2025-10-27,1759324415.0,2025-10-01,PROACTIVE,33.4
0x0b6c8ef0de1be5ed1b59e6e7a67fb9442fb9e49c,Duplicated Key,ethereum,1,0x27DE5155c2407Bc0161e571b2086d0B700446D73,HISTORICALLY_EXPOSED,historical_reallocation,49301.47501757209,0.0,,,,,,,,,,122,0,0,,,,,,,EXITED_TIMING_UNKNOWN,
0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,ethereum,1,MEV Capital,ACTIVE_DEPEG,current_allocation,8333.626666905626,3159.0888276720184,2025-11-30,,,3152.5872294712035,3153.0846269007984,,,,,5,0,0,,,,,,,STAYED_EXPOSED,
0x76b2406d29f1a2be4db638abbd5c7cab2ee2d8fe,Vaultik USDC,Arbitrum,42161,0x0000000000000000000000000000000000000000,ACTIVE_DEPEG,current_allocation,8290.597449266059,1999.7854874502848,2025-11-02,,,1233.0838832393376,,,,,,3,0,0,,,,,,,STAYED_EXPOSED,
0xca7c196f00e04a5e1c71b91476d0d58f82499734,Tanken USDC,ethereum,1,0x12393CCf9553Eb402fFEB43678565ea5727cEcF6,HISTORICALLY_EXPOSED,historical_reallocation,6696.8537122211565,1542.23947247134,2025-10-05,1762214400.0,2025-11-04,0.0,641.9969731790696,,,,,24,6,1,1760044799.0,2025-10-09,1762181831.0,2025-11-03,1760044799.0,2025-10-09,PROACTIVE,25.1
0xb34e17733245c7371e87e9df64e705000b91d169,Duplicated Key Arbitrum,Arbitrum,42161,0x27DE5155c2407Bc0161e571b2086d0B700446D73,HISTORICALLY_EXPOSED,historical_reallocation,4054.926702415758,117.16000030582136,2025-10-17,1760745600.0,2025-10-18,,,,,,,32,1,3,1761549007.0,2025-10-27,1761549007.0,2025-10-27,1760745600.0,2025-10-18,PROACTIVE,17.0
0x0404fd1a77756eb029f06b5cdea88b2b2ddc2fee,Elixir USDC,ethereum,1,Gauntlet,HISTORICALLY_EXPOSED,historical_reallocation,3072.0952712996605,6041.350599411439,2025-10-29,1761696000.0,2025-10-29,,0.0,,,,,14,3,1,1759428155.0,2025-10-02,1762207655.0,2025-11-03,1759428155.0,2025-10-02,PROACTIVE,32.2
0x64a651d825fc70ebba88f2e1bad90be9a496c4b9,Avantgarde USDC Core Arbitrum,Arbitrum,42161,Avantgarde,HISTORICALLY_EXPOSED,historical_reallocation,41.04576624684915,23304.298219904427,2025-10-29,1761782400.0,2025-10-30,0.0,23304.298219904427,,,,,12,1,5,1761720000.0,2025-10-29,1761720000.0,2025-10-29,1761720000.0,2025-10-29,EARLY_REACTOR,5.7
0xb8c9ae462626ec6162645f3e7e3441e7918c89f0,Bandit USDC,ethereum,1,0x518732e780F5C9d8b67e32744213C05066E86B1C,FULLY_EXITED,current_allocation,33.79086872403955,0.0,2025-11-30,1764460800.0,2025-11-30,0.0,0.0,,,,,12,0,0,,,,,1764460800.0,2025-11-30,VERY_LATE,-26.0
0x6ed386ee386199d0e1d9d712ef2071be433844f4,ABRC,Arbitrum,42161,0x41D71E8f45002A9f9315d5a4279CFC0f9047610b,FULLY_EXITED,current_allocation,1.985408942902852,0.0,2025-11-30,1764460800.0,2025-11-30,0.0,0.0,,,,,9,0,0,,,,,1764460800.0,2025-11-30,VERY_LATE,-26.0
0xd50b9bbf136d1bd5cd5ac6ed9b3f26c458a6d4a6,(Deployer),ethereum,1,AlphaPing,HISTORICALLY_EXPOSED,historical_reallocation,1.2115307247743654,0.0,,,,,,,,,,42,0,0,,,,,,,EXITED_TIMING_UNKNOWN,
0x38248d715336d4cad20d3e12e8dc34da596f9d6c,RIMU USDC,ethereum,1,0x0000000000000000000000000000000000000000,ACTIVE_DEPEG,current_allocation,0.0102009620354887,0.0,2025-11-30,1764460800.0,2025-11-30,0.0,0.0,,,,,10,0,0,,,,,1764460800.0,2025-11-30,VERY_LATE,-26.0
0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,ethereum,1,0xA694312dEf4F67E8356fB79B7d54b3DCe79dad86,FULLY_EXITED,current_allocation,0.0,0.0,2025-11-30,1764460800.0,2025-11-30,0.0,0.0,,,,,6,0,0,,,,,1764460800.0,2025-11-30,VERY_LATE,-26.0
0x889dd190bb6b0662db3fe0aac29eedca3d2ba22a,MEV Elixir sUSDS,ethereum,1,MEV Capital,FULLY_EXITED,current_allocation,0.0,0.0,2025-11-30,1764460800.0,2025-11-30,0.0,0.0,,,,,7,0,0,,,,,1764460800.0,2025-11-30,VERY_LATE,-26.0
0xba465fcb8d32b875aed5ae9e2fb53ea303c2d312,Elixir Levered RWA vault,Plume,98866,0x0000000000000000000000000000000000000000,ACTIVE_DEPEG,current_allocation,0.0,0.0,,,,,,,,,,5,0,0,,,,,,,STAYED_EXPOSED,
0x3de7ab60745f57fdea1205e2379261d3c81c7ba6,USDC Test,Plume,98866,0x0000000000000000000000000000000000000000,STOPPED_SUPPLYING,current_allocation,0.0,0.0,2025-11-30,1764460800.0,2025-11-30,0.0,0.0,,,,,7,0,0,,,,,1764460800.0,2025-11-30,VERY_LATE,-26.0
0x4c289073eb6679393890b85eec9d604271c18c28,Alpha USDC Core,Arbitrum,42161,AlphaPing,FULLY_EXITED,current_allocation,0.0,0.0,2025-11-30,1764460800.0,2025-11-30,0.0,0.0,,,,,8,0,0,,,,,1764460800.0,2025-11-30,VERY_LATE,-26.0
0x0b14d0bdaf647c541d3887c5b1a4bd64068fcda7,Mystic MEV Capital pUSD,Plume,98866,0x0000000000000000000000000000000000000000,HISTORICALLY_EXPOSED,historical_reallocation,0.0,5075707.804763924,2025-10-16,1761955200.0,2025-11-01,0.0,4441440.141911574,,,,,31,21,27,1759795228.0,2025-10-07,1763148488.0,2025-11-14,1759795228.0,2025-10-07,PROACTIVE,28.0
0xc0df5784f28046d11813356919b869dda5815b16,Re7 pUSD,Plume,98866,0x0000000000000000000000000000000000000000,HISTORICALLY_EXPOSED,historical_reallocation,0.0,9999891.755039306,2025-10-05,1762300800.0,2025-11-05,4423987.579399373,3588970.2752481825,,,,,43,6,6,1759344626.0,2025-10-01,1763153162.0,2025-11-14,1759344626.0,2025-10-01,PROACTIVE,33.2
